Cheryl,"So, thank you for the delicious dinner."
Ross,You're welcome for a delicious dinner.
Phoebe,Hey what are you guys looking at?
Chandler,Ross and the most beautiful girl in the world.
Phoebe,"Yeah, come to papa."
Ross,I know!
Monica,"Probably the only time I'll ever say this, but did you see the ass on her?"
Chandler,"Where did you, when did you, how did you...  How did you get a girl like that?"
Rachel,"Yeah, so what is she, like a... like a spokesmodel, or an aerobics instructor, what?"
Ross,"Actually she's a paleontology doctoral candidate, specializing in the centazoic era."
Chandler,"Okay, but that's, like, the easiest era."
Ross,"I've seen her at work, but I always figured, ah-huh? But, uh, I made her dinner. We had a great time. And we're going out again tomorrow."
Rachel,Well maybe she and her friends are just having a contest to see who can bring home the biggest geek.
Ross,Fine by me; hope she wins.
Chandler,Hi. You guys have any wrapping paper?
Phoebe,Oo! Is it for my birthday present?
Chandler,"Phebes, it was your birthday, like, months ago."
Phoebe,"Yeah, but remember you said you ordered something special, and it just hasn't come yet?"
Chandler,"Well, I have a call in about that."
Phoebe,'Kay.
Chandler,"Actually, this is for Kathy's birthday. It's an early edition of her favorite book."
Rachel,"Oh, The Velveteen Rabbit! Oh my God, when the boy's love makes the rabbit real!"
Chandler,"Okay, but don't touch it, because you fingers have destructive oils."
Rachel,"Huh. Well, then you'd better keep it away from Ross's hair. So this is pretty rare. How did you get that?"
Chandler,"Oh, it wasn't a big deal. I just went to a couple of bookstores, talked to a couple of dealers... called a couple of the author's grandchildren."
Rachel,"Oh, honey, that's so sweet."
Phoebe,"Yeah, and what a great way to say, ""I secretly love you, roommate's girlfriend!"""
Chandler,It doesn't say that. Does it?
Ross,How do you think it's gonna look when you get her something incredibly meaningful and expensive and her boyfriend Joey gives her an orange?
Chandler,"Okay, all right, I'll just uh, make sure that uh, Joey gets her something really great."
Phoebe,It's gotta be better than that book. Oo! Like a crossbow!
Monica,"Yeah, once again, I am sorry. Thank you. Bye.  I just had to turn down a job catering a funeral for sixty people."
Rachel,Oh my God! What happened?
Monica,Sixty guests.
Ross,"So, uh, why did you have to turn it down?"
Monica,Because I don't have the money or the equipment to handle something that big on such short notice. I mean there's no way.
Phoebe,"Wow, what is with all the negativity? You sound like Monican't , not Monican...  ...Monica. Look, you know, you have been playing around with this catering thing for over three years. Do you want to be a caterer or not?"
Monica,I don't know.
Phoebe,"There you go, that's the spirit! Okay! Now, if you need money, I will lend you money, but just get moving!"
Monica,Really? Cause I'd need like $500 for all the food and the supplies and stuff.
Phoebe,"Okay! It's worth it, if it will get you moving. You haven't worked in months."
Monica,"Well, you're not working either."
Phoebe,"Yes, but I'm doing this."
Monica,"Yeah, that'd be great! Thank you!"
Joey,Hey!
Everyone,Hey.
Kathy,Can I borrow the keys to your apartment?
Joey,Why?
Joey,You can pee here!
Kathy,"Ahahaha... haha.. yes I can, of course. Excuse me."
Chandler,"It's okay, the duck's using our bathroom anyway.  Hey Joe! What are you getting Kathy for her birthday?"
Joey,"We've only been going out for a couple of weeks, do you think I gotta get her something?"
Everyone,Yeah!
Rachel,"Yes, you have to get her something, and it should be something really nice."
Joey,"Oh, I know..."
Rachel,"And not one of your coupons for an hour of ""Joey Love."""
Phoebe,"Ooo, a crossword! Can I help?"
Rachel,"No! I'm sorry, honey, it's just that last week I got all but three answers and I really want to finish a whole one without any help."
Phoebe,Fine. But you can't help me develop my new universal language.
Monica,Hey!
Rachel,"Hey, how'd it go?"
Monica,"Oh my God, it was the best funeral ever! I mean, everyone loved the food, and guess what? I even got another funeral for tomorrow—the dead-guy-from-today's best friend. I mean, it is like I am the official caterer for that accident!"
Phoebe,Mon! I'm so happy for you!
Monica,"Thanks. Like, check out my new catering stuff.  Look at this! I'm an omelet station! Omelet? Made to order!"
Phoebe,"I'll have one, please. Plus my money."
Monica,"Oh. Well, I didn't realize that you needed it back right away. I mean, you told me to go and be a caterer. So I went. I beed. I mean, I... I used it to buy all this stuff. But look—I've got another job tomorrow, so I'll pay you back with the money I make from that."
Phoebe,"Oh. Okay. Oo, sorry I acted like a bank."
Monica,Okay.
Ross,Huh...
Cheryl,"Um, would you like to come in?"
Ross,Did homo-erectus hunt with wooden tools?
Cheryl,According to recent findings!
Cheryl,Here Mitzi! Here Mitzi!
Ross,Mitzi is.....
Cheryl,"My hamster. I hope she's okay, I haven't seen her in a while. Have a seat."
Ross,"Uh... Oh hey, do you, uh  ...do you have any, um, Cinnamon Fruit Toasties?"
Cheryl,What?
Ross,"Well, I do! Why don't we go back to my place, light a couple of candles, break open a box of Cinnamon Fruit Toasties, uh..."
Cheryl,I'd rather not.
Ross,"Oh, yeah, why not?"
Cheryl,"Okay, um, don't take this the wrong way, but your place kinda has a weird smell."
Monica,"Oh, is everything in the car?"
Phoebe,Yes. Did you settle the bill?
Monica,No. I hate this part.
Phoebe,"Oh, look what we almost left."
Monica,"No, that's not mine."
Phoebe,"Oh, all right. Oh! Look what we almost took!"
Monica,"Excuse me, Mrs. Burkart? Well, we're all cleaned up in the kitchen."
Mrs. Burkart,"Oh, good. Thank you."
Monica,"Um, and, well there's the.. the the small matter of..."
Mrs. Burkart,Dear?
Monica,Just the matter of ...payment?
Mrs. Burkart,Jack used to handle the finances!
Rachel,You know what we should all do? Go see a musical.
Chandler,Sure...
Rachel,And you know which one we should see? The 1996 Tony award winner. Do you happen to know the name of that one?
Chandler,"I don't know... um, Grease?"
